datetime,pm2.5,pm10,tsp,temp,humidity,windspeed,winddir,sealevelpressure,visibility,precipitation,solarradiation,aqi,aqi_category,year,month,day,day_name,season,is_weekend,pm2.5_lag1,pm2.5_lag3,pm2.5_lag7,PM10_lag1,PM10_lag7,aqi_lag1,aqi_lag7,pm2.5_roll3,pm2.5_roll7,aqi_roll3,aqi_roll7,month_sin,month_cos
2016-09-01,28.552393,65.59699,202.18317,74.8,82.5,10.3,254.5,1010.5,4.3,0.0,168.1,86.0,Moderate,2016,9,1,Thursday,Autumn,0,30.922136,35.66162,24.10691,61.884052,131.6083,91.0,89.0,30.922135670979817,28.119884763445175,91.0,87.71428571428571,-1.0,-1.8369701987210297e-16
2016-09-02,26.182652,69.30993,235.7022,75.1,82.4,10.3,262.6,1008.3,4.9,0.0,146.7,81.0,Moderate,2016,9,2,Friday,Autumn,0,28.552393,33.291878,20.384295,65.59699,111.05074,86.0,79.0,28.552393595377605,28.948221479143417,86.0,88.0,-1.0,-1.8369701987210297e-16
2016-09-03,23.812908,73.022865,269.22122,72.7,89.3,13.9,207.2,1008.2,4.0,35.9918,124.9,76.0,Moderate,2016,9,3,Saturday,Autumn,1,26.182652,30.922136,16.66168,69.30993,90.49318,81.0,69.0,26.182650883992512,29.96982547215053,81.0,89.0,-1.0,-1.8369701987210297e-16
2016-09-04,21.443167,76.7358,302.74023,71.8,88.4,5.8,219.0,1010.8,4.3,0.1016,75.4,71.0,Moderate,2016,9,4,Sunday,Autumn,0,23.812908,28.552393,31.36519,73.022865,86.59778,76.0,92.0,23.8129088083903,28.55239350455148,76.0,86.0,-1.0,-1.8369701987210297e-16
2016-09-05,19.073425,80.44874,336.25925,74.1,84.3,8.1,197.3,1010.8,4.4,0.0,135.9,66.0,Moderate,2016,9,5,Monday,Autumn,0,21.443167,26.182652,35.66162,76.7358,54.45818,71.0,101.0,21.443166732788086,26.182651247297013,71.0,81.0,-1.0,-1.8369701987210297e-16
2016-09-06,16.703682,84.161674,369.7783,72.6,88.8,8.1,201.8,1012.1,4.1,2.0,70.2,65.0,Moderate,2016,9,6,Tuesday,Autumn,0,19.073425,23.812908,33.291878,80.44874,58.171116,66.0,96.0,19.07342465718587,23.81290899004255,67.33333333333333,76.57142857142857,-1.0,-1.8369701987210297e-16
2016-09-07,14.33394,87.87461,403.2973,72.9,89.2,9.2,244.5,1011.5,4.4,6.1,168.3,67.0,Moderate,2016,9,7,Wednesday,Autumn,0,16.703682,21.443167,30.922136,84.161674,61.884052,65.0,91.0,16.70368226369222,21.4431665965489,66.0,73.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-08,17.1288,75.974075,307.15402,74.1,83.0,10.3,252.4,1013.4,4.7,2.3,124.5,62.0,Moderate,2016,9,8,Thursday,Autumn,0,14.33394,19.073425,28.552393,87.87461,65.59699,67.0,86.0,16.055473645528156,19.811224664960587,64.66666666666667,69.71428571428571,-1.0,-1.8369701987210297e-16
2016-09-09,19.92366,64.07354,211.01077,73.9,85.5,8.1,223.7,1014.0,4.4,0.0,169.5,67.0,Moderate,2016,9,9,Friday,Autumn,0,17.1288,16.703682,26.182652,75.974075,69.30993,62.0,81.0,17.128799756368,18.917083059038436,65.33333333333333,67.71428571428571,-1.0,-1.8369701987210297e-16
2016-09-10,22.71852,52.173,114.8675,71.9,91.6,4.7,151.2,1014.0,4.0,15.7,125.2,73.0,Moderate,2016,9,10,Saturday,Autumn,1,19.92366,14.33394,23.812908,64.07354,73.022865,67.0,76.0,19.923659642537434,18.760741778782435,67.33333333333333,67.28571428571429,-1.0,-1.8369701987210297e-16
