datetime,pm2.5,pm10,tsp,temp,humidity,windspeed,winddir,sealevelpressure,visibility,precipitation,solarradiation,aqi,aqi_category
2016-08-25,24.10691,131.6083,407.0843,77.7,75.7,9.2,226.8,1014.0,4.9,0.0,232.3,89.0,Moderate
2016-08-26,20.384295,111.05074,389.271,74.5,81.3,12.8,171.4,1015.7,4.9,15.5,231.4,79.0,Moderate
2016-08-27,16.66168,90.49318,371.4577,77.9,77.4,6.9,162.2,1016.0,5.1,0.0,260.2,69.0,Moderate
2016-08-28,31.36519,86.59778,256.1266,75.8,78.8,10.3,223.2,1015.8,5.3,0.0,229.8,92.0,Moderate
2016-08-29,35.66162,54.45818,101.6261,74.6,81.8,9.2,289.3,1013.1,4.7,0.5,190.1,101.0,Unhealthy for Sensitive Groups
2016-08-30,33.29187777777778,58.17111666666666,135.1451222222222,74.0,84.0,9.2,210.1,1011.7,4.3,0.5,162.0,96.0,Moderate
2016-08-31,30.92213555555556,61.88405333333333,168.66414444444445,73.8,85.7,11.4,249.0,1011.4,4.0,18.008599999999998,175.2,91.0,Moderate
2016-09-01,28.55239333333333,65.59699,202.18316666666664,74.8,82.5,10.3,254.5,1010.5,4.3,0.0,168.1,86.0,Moderate
2016-09-02,26.18265111111111,69.30992666666667,235.70218888888888,75.1,82.4,10.3,262.6,1008.3,4.9,0.0,146.7,81.0,Moderate
2016-09-03,23.812908888888888,73.02286333333333,269.2212111111112,72.7,89.3,13.9,207.2,1008.2,4.0,35.9918,124.9,76.0,Moderate
2016-09-04,21.443166666666663,76.73580000000001,302.7402333333333,71.8,88.4,5.8,219.0,1010.8,4.3,0.1016,75.4,71.0,Moderate
2016-09-05,19.07342444444444,80.44873666666668,336.2592555555556,74.1,84.3,8.1,197.3,1010.8,4.4,0.0,135.9,66.0,Moderate
2016-09-06,16.70368222222222,84.16167333333334,369.77827777777776,72.6,88.8,8.1,201.8,1012.1,4.1,2.0,70.2,65.0,Moderate
2016-09-07,14.33394,87.87461,403.2973,72.9,89.2,9.2,244.5,1011.5,4.4,6.1,168.3,67.0,Moderate
2016-09-08,17.128800000000002,75.97407333333334,307.15403333333336,74.1,83.0,10.3,252.4,1013.4,4.7,2.3,124.5,62.0,Moderate
2016-09-09,19.92366,64.07353666666667,211.01076666666668,73.9,85.5,8.1,223.7,1014.0,4.4,0.0,169.5,67.0,Moderate
2016-09-10,22.71852,52.173,114.8675,71.9,91.6,4.7,151.2,1014.0,4.0,15.7,125.2,73.0,Moderate
2016-09-11,21.1299,27.67284,38.32601,71.4,89.3,8.1,132.2,1013.6,3.8,31.0,46.2,70.0,Moderate
2016-09-12,33.13915,100.2217,264.9948,68.5,93.9,6.9,141.0,1013.9,3.8,56.4,52.2,95.0,Moderate
2016-09-13,31.592956666666662,96.40799166666666,263.5697333333333,70.2,87.4,5.8,156.4,1016.5,4.1,0.3,158.4,92.0,Moderate
2016-09-14,30.04676333333333,92.59428333333334,262.14466666666664,73.2,82.7,11.4,145.3,1016.0,4.4,8.6,170.6,89.0,Moderate
2016-09-15,28.50057,88.780575,260.7196,73.3,83.9,9.2,228.2,1015.3,4.5,0.1016,201.9,85.0,Moderate
2016-09-16,26.954376666666665,84.96686666666666,259.29453333333333,73.2,84.0,12.8,225.8,1013.8,4.7,0.0,162.0,82.0,Moderate
2016-09-17,25.408183333333334,81.15315833333332,257.86946666666665,72.6,85.0,10.3,205.7,1013.5,4.5,1.8,137.9,79.0,Moderate
2016-09-18,23.86199,77.33945,256.4444,71.9,84.2,8.1,239.0,1014.6,4.8,16.5,173.8,76.0,Moderate
2016-09-19,28.11697,68.84859,191.9433,74.3,80.7,9.2,270.8,1012.5,4.8,0.3,170.2,85.0,Moderate
2016-09-20,18.82584,79.23426,215.0461,74.1,82.1,8.1,211.1,1013.3,4.3,0.0,147.2,65.0,Moderate
2016-09-21,27.90647,73.38735,218.1931,70.9,84.5,8.1,85.1,1016.8,4.6,23.9,61.2,84.0,Moderate
2016-09-22,33.85928,81.47073,194.4983,70.7,81.3,10.3,260.1,1017.4,4.8,0.0,95.6,97.0,Moderate
2016-09-23,30.05894,43.7561,80.65267,71.8,82.7,12.8,213.0,1013.5,4.4,0.0,157.5,89.0,Moderate
2016-09-24,34.9552,70.48679,165.5636,68.1,92.6,5.8,136.3,1013.5,4.0,12.4,72.7,99.0,Moderate
2016-09-25,29.88276,81.10115,211.8583,68.4,89.8,8.1,170.3,1013.3,4.2,0.0,56.5,88.0,Moderate
2016-09-26,20.74891,47.89908,130.8661,70.4,83.9,8.1,189.2,1015.0,4.5,0.0,123.6,69.0,Moderate
2016-09-27,33.5332,60.318415,144.06324999999998,72.4,81.3,9.2,230.0,1014.9,4.6,0.0,188.7,96.0,Moderate
2016-09-28,46.31749,72.73775,157.2604,70.4,86.1,6.9,180.4,1015.3,4.4,5.0038,105.1,128.0,Unhealthy for Sensitive Groups
2016-09-29,47.42246,85.46181,197.9568,71.0,84.7,5.8,220.1,1014.5,3.8,0.3,128.1,130.0,Unhealthy for Sensitive Groups
2016-09-30,29.51485,51.65114,108.4692,72.9,83.7,12.8,183.3,1014.1,4.5,1.5,204.9,88.0,Moderate
2016-10-01,37.57621,57.17214,105.3997,72.3,86.8,6.9,111.6,1017.0,4.3,21.6,182.3,106.0,Unhealthy for Sensitive Groups
2016-10-02,23.2537,78.19403,254.4348,73.7,84.5,10.3,261.2,1018.2,3.9,0.0,190.4,74.0,Moderate
2016-10-03,31.01882,82.37053,256.4547,73.8,83.5,9.2,247.1,1016.7,4.0,0.0,201.4,91.0,Moderate
2016-10-04,42.06206,95.02801,259.2679,72.6,83.6,9.2,248.4,1015.1,4.3,0.0,171.9,117.0,Unhealthy for Sensitive Groups
2016-10-05,35.66872,87.38766,223.6729,72.3,84.1,6.9,234.4,1014.4,3.8,1.8,171.6,101.0,Unhealthy for Sensitive Groups
2016-10-06,35.14873,69.18163,182.1927,72.4,81.0,9.2,277.4,1015.4,3.9,1.5,141.8,99.0,Moderate
2016-10-07,33.42438,76.69577,208.8088,71.5,83.4,8.1,283.3,1015.7,4.3,0.0,178.2,96.0,Moderate
2016-10-08,24.17813,45.11865,113.1842,71.7,81.5,11.4,192.7,1015.7,4.5,0.0,154.3,76.0,Moderate
2016-10-09,13.22004,26.44468,73.59686,70.5,86.0,8.1,224.0,1014.1,4.6,0.0,87.6,53.0,Moderate
2016-10-10,15.2459,29.70006,83.67779,71.2,82.0,8.1,264.6,1013.3,5.2,0.3,83.2,58.0,Moderate
2016-10-11,19.1497,37.20291,100.3459,70.0,81.7,11.4,249.7,1012.7,5.0,0.3,166.8,66.0,Moderate
2016-10-12,29.62764,54.04653,126.3961,70.2,79.0,9.2,240.2,1012.7,5.1,0.0,210.0,88.0,Moderate
2016-10-13,44.71611,80.57236,196.0735,69.9,81.9,9.2,217.3,1014.5,4.5,0.0,159.6,124.0,Unhealthy for Sensitive Groups
2016-10-14,57.50813,95.71019,179.5046,68.7,78.9,16.1,213.9,1016.7,4.0,0.5,145.1,152.0,Unhealthy
2016-10-15,52.15009,98.54488,210.1628,68.8,80.8,9.2,240.9,1017.6,3.3,0.0,151.1,142.0,Unhealthy for Sensitive Groups
2016-10-16,46.53243,98.79306,242.3979,68.7,81.2,8.1,189.2,1017.5,3.4,0.0,135.8,128.0,Unhealthy for Sensitive Groups
2016-10-17,41.73176,94.95128,235.4072,68.1,75.6,9.2,177.3,1017.6,4.1,0.0,172.5,116.0,Unhealthy for Sensitive Groups
2016-10-18,36.51968,87.933,224.0897,67.1,78.2,13.9,137.4,1016.0,4.2,2.5,160.1,104.0,Unhealthy for Sensitive Groups
2016-10-19,37.20813,111.5092,296.093,66.9,76.0,9.2,281.5,1016.8,4.4,25.9,179.9,105.0,Unhealthy for Sensitive Groups
2016-10-20,40.975,108.7358,281.2708,65.8,72.2,11.4,254.4,1014.9,4.8,0.0,195.5,114.0,Unhealthy for Sensitive Groups
2016-10-21,51.31868,102.3358,245.3349,65.3,71.3,10.3,274.4,1014.8,5.0,0.0,192.6,140.0,Unhealthy for Sensitive Groups
2016-10-22,62.03903,122.5808,293.3101,65.1,74.9,8.1,224.4,1015.1,4.2,0.4064,186.4,154.0,Unhealthy
2016-10-23,61.49201,115.2517,280.2351,64.2,76.7,9.2,211.6,1015.3,3.5,0.1016,141.4,154.0,Unhealthy
2016-10-24,56.39514,151.5757,363.1361,65.6,79.6,9.2,201.1,1014.4,3.1,0.0,146.4,151.0,Unhealthy
2016-10-25,46.95458,125.4911,310.1908,66.1,69.1,10.3,202.8,1015.3,3.7,0.0,134.6,129.0,Unhealthy for Sensitive Groups
2016-10-26,43.61819,105.4082,276.1324,65.2,72.3,10.3,235.3,1018.1,4.7,0.0,176.3,121.0,Unhealthy for Sensitive Groups
2016-10-27,49.42486,138.1887,384.8954,64.7,75.1,9.2,243.7,1020.7,4.8,0.0,182.3,135.0,Unhealthy for Sensitive Groups
2016-10-28,60.39653,141.8205,322.7864,63.0,69.6,10.3,295.4,1018.8,4.5,1.1938,204.3,154.0,Unhealthy
2016-10-29,57.42118,121.6118,256.0156,62.5,70.6,9.2,255.3,1019.9,4.6,13.7922,194.3,152.0,Unhealthy
2016-10-30,48.80222,101.7853,218.2778,61.7,75.2,8.1,179.4,1019.2,5.1,0.0,199.0,134.0,Unhealthy for Sensitive Groups
2016-10-31,39.67944,92.69694,206.0669,62.3,73.1,9.2,141.7,1023.1,4.6,0.0,187.1,111.0,Unhealthy for Sensitive Groups
2016-11-01,30.53889,77.47847,179.6427,63.4,70.3,10.3,178.6,1021.1,4.9,0.0,185.6,90.0,Moderate
2016-11-02,38.77639,99.64375,221.7614,64.1,69.4,9.2,251.6,1021.0,5.8,0.0,186.3,109.0,Unhealthy for Sensitive Groups
2016-11-03,42.88736,130.8163,292.441,63.5,71.2,8.1,130.2,1022.4,5.1,0.0,182.6,119.0,Unhealthy for Sensitive Groups
2016-11-04,43.58333,101.2444,237.4722,60.8,68.6,9.2,191.2,1019.1,5.1,0.0,209.1,121.0,Unhealthy for Sensitive Groups
2016-11-05,41.67708,104.3326,248.7931,60.2,69.5,9.2,238.0,1017.0,5.1,0.0,206.8,116.0,Unhealthy for Sensitive Groups
2016-11-06,51.84653,113.0264,284.9056,60.0,72.2,9.2,176.5,1015.9,4.8,0.0,208.7,141.0,Unhealthy for Sensitive Groups
2016-11-07,51.37083,122.2451,291.3989,59.3,72.2,9.2,244.1,1017.2,4.3,0.0,203.3,140.0,Unhealthy for Sensitive Groups
2016-11-08,50.09167,113.0868,281.5104,59.4,71.4,8.1,229.8,1020.1,4.6,0.0,183.9,137.0,Unhealthy for Sensitive Groups
2016-11-09,48.44722,99.98056,226.5042,59.1,73.3,10.3,209.7,1019.7,4.7,0.0,203.0,133.0,Unhealthy for Sensitive Groups
2016-11-10,47.64792,104.1458,220.7528,60.3,74.5,9.2,283.8,1019.7,4.6,0.0,198.1,131.0,Unhealthy for Sensitive Groups
2016-11-11,50.75208,102.4854,223.3688,61.1,74.8,8.1,259.3,1020.8,4.3,0.0,162.3,139.0,Unhealthy for Sensitive Groups
2016-11-12,49.18528,89.62618,181.784,60.5,73.3,9.2,255.0,1021.2,4.8,0.0,191.5,135.0,Unhealthy for Sensitive Groups
2016-11-13,63.62361,139.2296,291.0315,59.9,77.1,10.3,276.3,1021.8,4.8,0.0,194.1,155.0,Unhealthy
2016-11-14,65.97875,145.8532,307.5079,58.0,73.3,9.2,164.3,1020.8,4.3,0.0,182.5,156.0,Unhealthy
2016-11-15,72.95848,139.3559,260.3921,56.6,66.7,8.1,163.7,1020.4,4.4,0.0,184.0,160.0,Unhealthy
2016-11-16,65.26778,125.825,243.9175,56.2,71.9,8.1,258.0,1020.9,3.9,0.0,183.4,156.0,Unhealthy
2016-11-17,67.07639,123.0889,235.3069,56.3,73.9,9.2,200.3,1020.7,3.7,0.0,196.9,157.0,Unhealthy
2016-11-18,67.20694,118.4778,223.8951,55.8,75.9,8.1,218.1,1018.9,3.6,0.508,186.3,157.0,Unhealthy
2016-11-19,62.45278,119.8519,267.7061,56.1,78.2,8.1,247.7,1017.4,3.7,0.0,137.0,155.0,Unhealthy
2016-11-20,60.37472,135.8201,347.6347,57.3,76.7,9.2,239.1,1018.2,3.5,0.0,129.1,154.0,Unhealthy
2016-11-21,72.48611,153.2203,330.1868,59.1,73.0,9.2,259.7,1017.6,3.6,0.0,173.3,160.0,Unhealthy
2016-11-22,81.09236,149.7979,312.7833,57.9,77.1,8.1,176.3,1016.6,3.3,0.0,177.9,164.0,Unhealthy
2016-11-23,82.55555,157.6465,357.5799,57.8,79.8,6.9,191.9,1016.8,3.1,0.0,136.2,165.0,Unhealthy
2016-11-24,87.18056,157.7847,334.3035,56.7,77.1,8.1,216.0,1019.0,2.9,0.0,136.0,167.0,Unhealthy
2016-11-25,86.25764,149.7038,281.2854,55.8,84.3,6.9,190.2,1016.2,2.8,0.0,98.4,167.0,Unhealthy
2016-11-26,76.07153,139.1528,300.5403,57.1,80.3,6.9,194.4,1017.5,2.6,0.0,95.1,162.0,Unhealthy
2016-11-27,75.81389,159.4708,353.6062,57.0,80.3,9.2,236.3,1016.2,2.8,0.0,128.9,161.0,Unhealthy
2016-11-28,72.94861,145.6012,332.2514,57.4,77.6,6.9,155.7,1018.2,3.2,0.0,107.1,160.0,Unhealthy
