datetime,temp,humidity,sealevelpressure,windspeed,winddir,precipitation,solarradiation,pm25,pm10,visibility,tsp,aqi
6/4/2026,23,78,1006.1,3.2,286,5.7,24.43,42.84,59.78,7,119.56,119.07
6/5/2026,23.1,79,1006.1,4.2,270,1.9,24.73,42.42,63.48,7,126.96,118.05
6/6/2026,22.1,84,1007.1,5.3,285,3.3,23.07,43.62,64.55,6.5,129.1,121
6/7/2026,22.2,85,1007,3.5,221,2.8,21.33,29.95,39.88,6,79.77,88.55
6/8/2026,23,81,1005.1,5,293,8.6,23,29.32,45.67,5,91.33,87.22
6/9/2026,22.4,81,1004.8,4.7,269,5.4,24.22,37.9,63.12,4.5,126.24,106.91
6/10/2026,21.6,87,1005.9,3.4,189,15.6,20.49,40.7,78.55,4,157.1,113.81
6/11/2026,21.6,85,1007.7,4.3,116,8.6,16.81,24.88,44.09,5,88.18,77.88
6/12/2026,21,90,1010.2,3,89,36.6,18.15,25.81,50.23,4.5,100.47,79.83
6/13/2026,22.1,85,1008.6,4.2,245,6.7,22.68,37.05,63.1,5.5,126.2,104.81
6/14/2026,22.1,86,1006.5,3.7,257,14.3,22.05,32.69,51.4,5,102.8,94.3
6/15/2026,22,85,1007.3,4.7,214,8.6,21.8,33,52.83,6,105.67,94.94
6/16/2026,22.7,84,1008.5,4.7,267,5.1,23.73,38.46,60.07,4,120.14,108.29
6/17/2026,23.1,83,1008.3,4.9,281,1.1,24.57,46.71,78.97,5,157.93,128.61
6/18/2026,23.6,78,1007.7,5.3,295,1.7,26.36,44.89,75.38,5.5,150.76,124.11
