datetime,date,pm10,pm25,pm10_time,pm25_time,temp,humidity,windspeed,winddir,sealevelpressure,visibility,precipitation,solarradiation,aqi
2026-06-29,2026-06-29,14.7,14.7,2026-06-29T02:58:00+00:00,2026-06-29T02:58:00+00:00,79.7,66,6.55,256,1004,7.12,0.0,645.0,94
2026-06-30,2026-06-30,22.2,18.1,2026-06-30T04:53:00+00:00,2026-06-30T04:53:00+00:00,78.35,71,3.13,195,1005,8.85,0.0,367.0,64
2026-07-01,2026-07-01,11.2,10.4,2026-07-01T11:58:00+00:00,2026-07-01T11:58:00+00:00,71.56,93,3.1,267,1004,6.11,0.0,78.0,69
2026-07-03,2026-07-03,9.9,9.8,2026-07-03T01:59:00+00:00,2026-07-03T01:59:00+00:00,76.96,79,2.27,275,1006,10.0,0.0,453.0,54
2026-07-04,2026-07-04,15.3,13.6,2026-07-04T02:58:00+00:00,2026-07-04T02:58:00+00:00,77.52,76,4.75,293,1004,10.0,0.0,618.0,58
2026-07-05,2026-07-05,20.5,13.5,,,70.29,84,0.65,315,1004,10.0,0.0,331.0,59
2026-07-10,2026-07-10,7.9,5.2,2026-07-10T06:01:00+00:00,2026-07-10T06:01:00+00:00,77.92,78,7.92,257,1003,5.65,0.0,390.0,61
2026-07-11,2026-07-11,25.0,16.7,2026-07-11T02:59:00+00:00,2026-07-11T02:59:00+00:00,78.44,77,3.49,287,1001,10.0,0.0,578.0,59
2026-07-12,2026-07-12,11.9,7.9,2026-07-12T11:59:00+00:00,2026-07-12T11:59:00+00:00,72.84,93,5.72,259,999,3.5,0.0,26.0,44
2026-07-13,2026-07-13,11.1,10.9,2026-07-13T01:59:00+00:00,2026-07-13T01:59:00+00:00,69.31,98,4.54,123,1003,0.83,3.16,307.0,55
2026-07-14,2026-07-14,11.0,8.7,2026-07-14T16:00:00+00:00,2026-07-14T16:00:00+00:00,70.16,88,4.64,129,1005,10.0,0.0,0.0,50
2026-07-16,2026-07-16,16.1,12.9,2026-07-16T15:59:00+00:00,2026-07-16T15:59:00+00:00,70.66,94,1.15,240,1007,10.0,0.0,0.0,53
2026-07-17,2026-07-17,7.0,5.7,2026-07-17T09:55:00+00:00,2026-07-17T09:55:00+00:00,77.18,80,6.3,267,1004,9.49,0.0,401.0,52
2026-07-19,2026-07-19,6.2,4.1,2026-07-19T06:00:00+00:00,2026-07-19T06:00:00+00:00,79.9,71,4.03,280,1005,10.0,0.0,509.0,54
2026-07-20,2026-07-20,9.3,7.6,2026-07-20T08:00:00+00:00,2026-07-20T08:00:00+00:00,75.97,82,5.44,251,1006,10.0,0.0,675.0,22
2026-07-22,2026-07-22,7.6,5.1,2026-07-22T09:01:00+00:00,2026-07-22T09:01:00+00:00,75.49,83,4.97,235,1005,4.42,0.0,435.0,28
2026-07-23,2026-07-23,4.1,2.7,2026-07-23T09:00:00+00:00,2026-07-23T09:00:00+00:00,75.78,82,2.45,220,1004,5.88,1.79,487.0,22
2026-07-24,2026-07-24,6.7,6.7,2026-07-24T08:00:00+00:00,2026-07-24T08:00:00+00:00,75.4,82,5.0,248,1004,10.0,0.0,398.0,39
2026-07-26,2026-07-26,59.7,54.9,2026-07-26T13:01:00+00:00,2026-07-26T13:01:00+00:00,70.09,94,4.39,216,1004,10.0,1.61,0.0,51
2026-07-27,2026-07-27,21.0,14.2,2026-07-27T14:01:00+00:00,2026-07-27T14:01:00+00:00,69.8,93,3.82,173,1004,10.0,1.39,0.0,44
2026-07-29,2026-07-29,22.1,14.7,2026-07-29T03:02:00+00:00,2026-07-29T03:02:00+00:00,75.09,81,0.54,293,1004,10.0,0.0,532.0,44
2026-07-30,2026-07-30,21.2,14.2,2026-07-30T14:16:00+00:00,2026-07-30T14:16:00+00:00,68.97,97,5.58,159,1007,3.26,1.02,0.0,60
2026-07-31,2026-07-31,23.8,5.4,2026-07-31T07:26:00+00:00,2026-07-31T07:26:00+00:00,78.12,75,5.9,258,1004,7.62,1.17,584.0,31
2026-08-01,2026-08-01,40.7,30.8,2026-08-01T11:01:00+00:00,2026-08-01T11:01:00+00:00,72.57,91,3.6,231,1003,9.1,0.1,223.0,56
2026-08-02,2026-08-02,67.1,60.5,2026-08-02T16:02:00+00:00,2026-08-02T16:02:00+00:00,70.0,92,3.71,167,1007,10.0,0.0,0.0,71
2026-08-03,2026-08-03,68.2,61.3,2026-08-03T08:57:00+00:00,2026-08-03T08:57:00+00:00,77.11,80,7.34,268,1004,8.54,0.95,328.0,68
2026-08-04,2026-08-04,68.4,58.4,2026-08-04T13:58:00+00:00,2026-08-04T13:58:00+00:00,70.48,93,3.13,123,1006,10.0,0.29,0.0,78
2026-08-05,2026-08-05,57.9,41.2,2026-08-05T15:53:00+00:00,2026-08-05T15:52:00+00:00,69.21,97,7.02,130,1006,9.57,0.17,0.0,25
2026-08-06,2026-08-06,69.1,61.1,2026-08-06T15:57:00+00:00,2026-08-06T15:57:00+00:00,69.49,94,2.77,173,1006,10.0,0.0,0.0,58
2026-08-07,2026-08-07,21.5,14.3,2026-08-07T14:37:00+00:00,2026-08-07T14:37:00+00:00,69.67,93,3.24,241,1005,10.0,0.28,0.0,59
2026-08-08,2026-08-08,18.4,12.3,2026-08-08T07:58:00+00:00,2026-08-08T07:58:00+00:00,77.47,82,6.01,259,1005,10.0,2.79,468.0,60
